,y,rb?,te?,age,max_ppg,last_pts,3_yr_trail_avg_fppg,hit_rate,Draft Pick,Breakout Age,cdr
1,1,1,0,24.5,14.3,14.3,11.15,0.0,5.39,18.8,47.0
3,0,1,0,34.2,11.8,11.8,7.566666666666667,0.0,1.07,19.5,42.7
6,0,1,0,22.9,,,,,,,10.1
7,0,1,0,25.0,1.9,1.9,0.95,0.0,6.08,,3.2
9,0,1,0,20.9,,,,,3.38,19.2,28.7
12,0,1,0,30.5,6.2,6.2,4.8999999999999995,0.0,6.03,20.7,50.0
14,1,1,0,23.9,23.2,23.2,21.35,1.0,3.03,20.1,23.3
15,0,1,0,26.0,13.4,0.4,7.566666666666666,0.0,2.22,19.2,34.6
18,0,1,0,26.0,2.7,2.3,2.2,0.0,6.01,,5.7
21,0,1,0,30.5,3.4,2.6,2.233333333333333,0.0,5.05,,3.4
27,1,1,0,24.0,11.6,11.6,9.6,0.0,,18.3,45.7
32,0,1,0,21.3,,,,,4.2,18.5,38.6
34,0,1,0,30.6,11.9,8.6,10.066666666666668,0.0,4.29,20.9,37.2
36,0,1,0,22.7,,,,,7.18,19.9,14.9
38,0,1,0,24.1,0.0,0.0,0.0,0.0,6.27,22.4,23.3
41,0,1,0,29.299999999999997,5.9,5.9,2.766666666666667,0.0,,20.6,29.0
44,0,1,0,23.6,3.1,3.1,2.7,0.0,5.12,18.8,34.2
47,0,1,0,23.2,,,,,,20.4,17.8
49,0,1,0,28.3,14.6,7.5,10.966666666666667,0.0,,20.6,18.2
50,0,1,0,25.9,2.1,2.0,2.05,0.0,,20.1,29.9
51,0,1,0,25.0,10.2,2.5,5.633333333333333,0.0,3.27,21.3,26.2
55,0,1,0,28.7,14.6,7.0,12.066666666666668,0.0,2.25,21.0,29.8
59,0,1,0,23.1,3.9,3.9,3.9,0.0,4.34,18.4,34.1
60,1,1,0,24.7,14.4,14.4,12.15,0.0,7.31,22.0,14.6
66,0,1,0,28.6,15.3,9.2,11.233333333333334,0.3333333333333333,5.21,19.9,17.7
67,1,1,0,23.0,24.1,24.1,19.200000000000003,0.5,1.08,19.2,50.7
72,0,1,0,28.2,7.8,6.0,6.3999999999999995,0.0,1.29,21.5,17.1
73,0,1,0,24.6,7.2,7.2,6.85,0.0,,18.8,33.1
78,0,1,0,23.3,,,,,,20.5,16.2
80,0,1,0,25.5,4.6,,2.9,0.0,,19.8,18.8
81,1,1,0,23.8,16.4,13.8,15.1,0.5,2.09,19.1,38.8
82,0,1,0,24.5,,,,,,22.7,21.5
84,0,1,0,22.3,,,,,3.23,20.6,14.7
85,0,1,0,27.2,9.9,9.9,7.366666666666667,0.0,,20.4,20.0
87,0,1,0,25.6,1.3,1.2,1.0999999999999999,0.0,6.22,,12.5
91,0,1,0,25.1,0.0,0.0,0.0,0.0,,21.3,17.2
94,0,1,0,24.1,5.4,5.4,5.4,0.0,,22.4,21.5
95,0,1,0,21.8,,,,,3.06,20.0,33.9
97,0,1,0,36.0,10.8,10.2,9.033333333333333,0.0,4.29,19.2,34.1
100,0,1,0,22.3,,,,,6.41,21.6,24.7
104,0,1,0,27.5,25.4,15.3,17.900000000000002,0.6666666666666666,3.22,19.7,43.2
105,0,1,0,22.0,,,,,3.09,20.2,30.5
108,0,1,0,23.8,2.0,2.0,2.0,0.0,,21.0,28.6
110,0,1,0,26.3,6.6,1.4,4.566666666666667,0.0,5.04,21.5,23.4
115,0,1,0,26.6,1.8,0.6,1.2333333333333334,0.0,6.23,,2.1
118,1,1,0,25.4,12.6,12.6,9.5,0.0,2.14,20.7,43.5
119,0,1,0,21.9,,,,,2.27,19.2,32.2
122,0,1,0,21.7,,,,,3.1,19.0,36.1
123,0,1,0,22.7,,,,,,21.9,25.5
124,0,1,0,27.2,17.8,7.0,13.033333333333333,0.3333333333333333,4.03,19.5,17.8
125,0,1,0,27.0,8.9,5.5,7.133333333333333,0.0,4.38,22.3,40.1
127,0,1,0,22.4,,,,,6.21,21.7,21.5
128,0,1,0,28.7,12.3,10.0,10.033333333333333,0.0,5.18,18.9,35.2
131,0,1,0,24.3,1.8,1.8,1.8,0.0,,19.5,29.1
135,0,1,0,25.7,13.5,8.0,10.166666666666666,0.0,3.13,19.0,33.0
136,0,1,0,25.1,4.4,3.8,3.266666666666667,0.0,7.15,20.4,20.1
142,0,1,0,25.8,4.6,1.7,3.15,0.0,,21.1,31.1
144,1,1,0,23.9,21.8,21.8,21.266666666666666,1.0,1.04,19.1,37.8
147,0,1,0,36.1,13.4,7.3,10.500000000000002,0.0,3.01,20.3,26.4
154,0,1,0,27.5,12.2,8.0,9.9,0.0,2.05,19.8,35.6
156,0,1,0,24.1,8.0,8.0,8.0,0.0,,22.4,26.4
159,0,1,0,23.7,7.5,7.5,7.5,0.0,4.26,20.0,33.9
160,0,1,0,25.8,8.1,0.3,4.066666666666666,0.0,,,10.2
169,0,1,0,24.5,,,,,,,0.2
171,0,1,0,25.6,9.8,9.8,7.5,0.0,,18.9,22.6
174,0,1,0,24.2,9.5,7.0,8.25,0.0,4.28,17.4,36.4
175,0,1,0,24.1,21.2,21.2,11.2,0.5,3.41,18.3,34.4
178,0,1,0,27.3,17.3,17.3,12.333333333333334,0.3333333333333333,4.3,18.6,27.1
179,0,1,0,30.1,4.4,0.7,2.8000000000000003,0.0,,,0.6
184,0,1,0,27.8,10.4,8.5,7.166666666666667,0.0,4.26,22.0,26.9
185,0,1,0,26.0,14.4,10.3,11.466666666666669,0.0,5.13,20.2,41.3
187,0,1,0,22.9,9.9,9.9,9.9,0.0,5.28,19.1,23.9
188,0,1,0,23.5,7.4,7.4,7.4,0.0,,19.8,34.6
197,0,1,0,22.9,17.4,17.4,13.75,0.5,2.16,19.1,24.7
200,0,1,0,22.7,3.0,3.0,3.0,0.0,6.02,20.9,36.5
203,0,1,0,23.5,,,,,,19.8,26.5
210,0,1,0,25.3,1.6,0.4,1.0,0.0,5.18,19.6,25.4
211,0,1,0,24.6,15.3,11.2,13.0,0.3333333333333333,5.11,18.8,29.3
212,0,1,0,23.3,,,,,5.16,20.6,17.1
214,0,1,0,24.9,4.6,4.6,4.6,0.0,5.32,23.1,24.8
216,0,1,0,22.6,6.7,6.7,6.7,0.0,,19.9,21.3
217,0,1,0,26.0,2.7,,1.85,0.0,,20.3,25.9
219,0,1,0,21.3,,,,,1.24,,13.9
224,0,1,0,21.5,,,,,4.11,19.8,21.7
227,0,1,0,23.1,7.6,7.6,7.6,0.0,7.33,18.4,30.7
230,0,1,0,23.4,3.6,3.6,3.6,0.0,4.31,20.7,20.6
232,0,1,0,23.8,20.9,20.9,19.65,1.0,3.22,18.1,28.7
239,0,1,0,30.1,3.1,0.9,1.9000000000000001,0.0,6.14,22.4,28.3
243,1,1,0,25.3,12.5,12.5,8.066666666666668,0.0,3.1,19.6,13.2
244,0,1,0,22.6,,,,,7.08,21.8,19.0
245,0,1,0,21.9,13.9,13.9,13.9,0.0,2.11,19.2,35.8
248,0,1,0,22.9,,,,,,20.2,16.2
252,0,1,0,28.1,5.4,4.5,4.8,0.0,4.33,,15.0
259,0,1,0,29.4,14.9,8.1,10.933333333333335,0.0,6.13,20.6,34.7
260,0,1,0,27.3,26.3,,24.55,1.0,2.16,18.5,45.1
262,0,1,0,30.9,19.8,9.1,15.133333333333333,0.6666666666666666,2.21,19.2,47.1
264,1,1,0,24.4,17.7,15.1,16.4,1.0,1.04,19.6,38.8
268,0,1,0,26.4,4.1,3.7,2.9333333333333336,0.0,,18.7,20.6
273,1,1,0,29.4,17.4,11.9,14.733333333333333,0.3333333333333333,1.28,18.7,32.8
274,0,1,0,22.2,1.8,1.8,1.8,0.0,4.12,18.4,27.5
275,0,1,0,23.2,14.5,14.5,10.95,0.0,4.37,18.5,29.8
277,0,1,0,33.1,13.2,13.2,12.05,0.0,1.12,18.4,31.9
279,0,1,0,24.3,11.6,11.6,9.05,0.0,,19.5,21.8
285,1,1,0,26.1,22.6,22.6,19.966666666666665,1.0,1.15,20.4,47.1
289,0,1,0,23.8,1.1,1.1,1.1,0.0,,19.1,19.8
290,0,1,0,27.3,1.6,1.6,0.7000000000000001,0.0,5.32,,3.3
291,0,1,0,26.3,9.1,9.1,6.633333333333333,0.0,4.27,20.5,23.6
292,0,1,0,26.3,9.1,9.1,6.633333333333333,0.0,,18.3,39.0
296,0,1,0,22.1,,,,,2.21,21.4,21.1
298,0,1,0,22.3,,,,,7.2,18.6,33.5
302,0,1,0,22.9,,,,,7.19,,2.3
303,1,1,0,23.4,12.2,12.2,12.2,0.0,2.03,18.7,31.7
304,0,1,0,22.5,10.1,10.1,10.1,0.0,4.04,20.8,22.6
306,0,1,0,30.1,2.0,2.0,1.6333333333333335,0.0,,,4.4
307,0,1,0,23.8,,,,,,22.1,30.1
309,0,1,0,24.5,5.5,,4.3,0.0,5.1,19.8,28.4
310,0,1,0,24.9,9.4,9.4,6.7,0.0,,21.2,30.9
312,0,1,0,24.9,14.9,14.9,14.9,0.0,,21.1,38.4
314,0,1,0,22.7,,,,,5.14,19.0,26.3
315,0,1,0,27.1,6.4,6.4,2.4,0.0,,,12.3
316,0,1,0,23.3,5.4,5.4,5.4,0.0,1.27,20.6,50.1
319,0,1,0,23.4,,,,,,,11.0
321,0,1,0,28.9,13.0,6.2,8.7,0.0,6.22,19.2,28.0
333,0,1,0,21.8,3.4,3.4,3.4,0.0,2.06,18.1,33.4
337,0,1,0,23.3,7.2,7.2,7.2,0.0,3.07,18.5,30.4
340,0,1,0,23.4,,,,,,20.7,37.4
341,0,1,0,22.6,,,,,5.02,19.9,31.6
343,0,1,0,23.7,8.3,1.7,5.0,0.0,4.07,19.0,27.8
344,1,1,0,22.3,24.0,24.0,24.0,1.0,1.02,18.6,32.2
346,0,1,0,27.7,0.9,0.0,0.45,0.0,,21.0,18.3
353,0,1,0,24.3,10.7,10.7,10.7,0.0,1.31,20.6,27.5
355,0,1,0,27.5,13.8,6.6,10.2,0.0,6.26,19.8,13.2
360,0,1,0,24.7,1.8,1.8,1.8,0.0,5.36,22.0,17.6
361,0,1,0,25.7,12.4,12.4,10.133333333333333,0.0,2.04,18.9,22.5
362,0,1,0,30.9,1.1,0.0,0.6,0.0,4.28,21.1,41.2
364,0,1,0,23.9,14.6,14.6,11.8,0.0,4.13,18.1,40.8
367,0,1,0,28.2,9.8,5.6,6.2,0.0,1.08,19.5,26.3
372,0,1,0,26.2,14.7,12.1,12.666666666666666,0.0,3.09,20.4,43.2
378,0,1,0,24.8,26.2,26.2,21.400000000000002,0.6666666666666666,1.1,18.1,33.2
380,0,1,0,24.5,,,,,,21.8,12.1
382,0,1,0,22.1,,,,,4.26,,13.2
383,0,1,0,26.6,,,,,,22.9,22.7
385,0,1,0,20.8,,,,,6.31,19.1,19.2
390,0,1,0,24.9,4.1,4.1,4.1,0.0,6.3,21.1,36.2
391,0,1,0,24.4,2.7,,2.7,0.0,,18.7,18.7
396,0,1,0,25.5,1.5,,1.5,0.0,,21.8,25.8
397,0,1,0,21.7,,,,,6.13,19.0,17.0
398,0,1,0,26.4,11.4,5.9,8.9,0.0,3.3,20.6,18.0
400,0,1,0,25.7,3.2,0.7,1.3333333333333333,0.0,4.21,20.9,35.1
402,0,1,0,24.7,8.1,3.4,5.75,0.0,4.34,20.9,21.4
403,0,1,0,25.3,9.0,9.0,6.233333333333333,0.0,5.14,21.6,22.3
404,1,1,0,24.0,,,,,,19.3,34.3
407,0,1,0,29.1,1.9,1.9,1.1333333333333333,0.0,,20.4,38.4
408,0,1,0,27.7,8.5,8.2,5.966666666666666,0.0,,21.0,45.4
411,0,0,0,21.9,,,,,2.19,20.2,32.6
419,0,0,0,25.9,11.8,11.8,9.5,0.0,,,9.4
420,0,0,0,28.8,19.1,19.1,15.433333333333332,0.3333333333333333,,20.0,45.9
421,0,0,0,26.9,13.8,13.8,9.533333333333333,0.0,,20.2,59.9
424,0,0,0,26.6,2.3,2.3,1.7666666666666666,0.0,,21.8,27.9
425,0,0,0,22.5,,,,,,20.8,49.9
426,0,0,0,27.6,9.9,4.4,7.833333333333333,0.0,,19.8,28.8
427,0,0,0,23.5,1.7,1.7,1.7,0.0,,19.7,33.1
428,1,0,0,25.8,12.3,11.8,8.933333333333334,0.0,2.29,19.0,37.9
429,0,0,0,29.299999999999997,14.3,14.3,12.800000000000002,0.0,2.13,19.6,39.7
431,1,0,0,25.0,14.4,14.4,13.333333333333334,0.0,1.04,18.2,47.2
437,0,0,0,25.0,,,,,,22.3,36.6
438,0,0,0,31.4,2.3,1.5,1.2666666666666666,0.0,3.24,18.7,46.1
440,0,0,0,22.5,,,,,2.3,19.8,52.2
443,0,0,0,24.6,8.0,8.0,8.0,0.0,2.19,21.9,39.9
446,1,0,0,30.9,22.0,21.6,21.366666666666664,1.0,6.26,19.2,32.8
447,0,0,0,22.4,8.1,8.1,8.1,0.0,4.05,18.7,
451,0,0,0,22.0,,,,,,18.3,60.9
452,0,0,0,22.3,1.5,1.5,1.5,0.0,7.35,19.6,37.4
453,0,0,0,25.4,3.4,3.4,3.4,0.0,,21.7,46.8
458,0,0,0,28.0,5.5,4.2,4.266666666666667,0.0,,21.2,28.4
460,0,0,0,24.3,3.2,2.3,2.75,0.0,,,15.4
462,0,0,0,25.7,16.4,16.2,15.433333333333332,0.6666666666666666,1.2,18.9,38.9
471,0,0,0,26.2,0.7,0.7,0.7,0.0,,20.5,38.6
472,0,0,0,23.7,,,,,6.36,21.9,28.1
476,0,0,0,25.7,6.7,6.2,4.833333333333333,0.0,1.26,20.0,36.6
486,0,0,0,25.5,,,,,,22.8,37.7
487,0,0,0,25.5,,,,,,21.7,23.4
489,0,0,0,24.4,12.9,12.9,12.9,0.0,1.26,20.7,30.1
491,0,0,0,23.4,,,,,,,5.6
496,0,0,0,25.0,2.6,2.6,2.6,0.0,,,11.1
498,0,0,0,24.6,4.1,4.1,2.8499999999999996,0.0,3.34,20.9,37.4
502,0,0,0,25.4,7.1,7.1,5.3999999999999995,0.0,,19.6,24.1
503,0,0,0,26.6,6.1,5.7,5.833333333333333,0.0,3.12,20.9,29.3
505,1,0,0,23.3,11.4,11.4,8.8,0.0,3.2,19.5,34.9
507,0,0,0,30.6,12.2,7.1,9.299999999999999,0.0,,,15.6
508,0,0,0,23.3,0.0,0.0,0.0,0.0,,,7.4
510,0,0,0,26.0,5.1,3.1,3.0666666666666664,0.0,4.09,20.2,23.7
512,0,0,0,23.0,,,,,,,16.5
513,0,0,0,22.5,10.3,10.3,10.3,0.0,2.15,18.8,36.8
515,0,0,0,25.1,6.2,3.5,3.233333333333333,0.0,6.24,20.4,16.9
516,0,0,0,25.5,,,,,,,3.7
517,0,0,0,26.6,6.0,6.0,4.333333333333333,0.0,2.24,19.9,27.4
519,0,0,0,30.1,11.8,9.4,9.1,0.0,,21.4,22.4
521,1,0,0,26.0,16.9,16.9,14.35,0.5,3.05,20.2,40.4
524,0,0,0,24.4,11.5,11.5,8.9,0.0,1.05,18.7,51.6
526,0,0,0,23.6,8.5,8.5,8.5,0.0,2.08,19.9,36.9
528,0,0,0,22.8,10.5,10.5,7.3,0.0,2.08,20.1,29.0
530,0,0,0,22.7,2.9,2.9,2.9,0.0,2.29,20.0,25.3
532,1,0,0,22.1,9.8,9.8,9.8,0.0,1.24,18.4,53.3
533,0,0,0,21.5,,,,,2.32,19.7,26.4
534,0,0,0,23.8,0.0,0.0,0.0,0.0,,,14.3
535,0,0,0,24.2,6.0,6.0,6.0,0.0,4.13,19.5,25.4
537,0,0,0,26.3,4.2,0.3,2.3666666666666667,0.0,,20.6,12.5
538,0,0,0,24.1,5.5,5.5,5.5,0.0,6.01,22.4,24.3
539,0,0,0,21.9,,,,,,21.2,42.1
542,0,0,0,33.6,9.3,8.5,7.866666666666667,0.0,,,16.1
543,0,0,0,23.6,8.6,8.6,8.6,0.0,2.12,20.9,31.6
544,0,0,0,26.9,1.6,1.6,1.6,0.0,,21.2,19.0
546,0,0,0,22.4,,,,,5.33,20.7,25.4
549,0,0,0,23.6,,,,,,20.8,35.2
552,1,0,0,26.4,21.8,21.8,17.666666666666668,1.0,2.21,19.7,40.7
553,0,0,0,24.4,7.8,7.8,7.8,0.0,7.08,19.6,39.1
559,0,0,0,26.1,3.3,3.3,3.3,0.0,,20.4,43.2
560,1,0,0,27.0,20.8,20.8,17.933333333333334,0.6666666666666666,1.27,18.2,39.3
562,0,0,0,27.6,1.7,,1.7,0.0,,,14.8
564,1,0,0,32.5,12.6,12.6,11.5,0.0,2.18,18.8,32.1
565,1,0,0,26.4,10.3,5.5,8.6,0.0,1.14,19.6,46.3
567,0,0,0,25.5,10.8,10.8,10.2,0.0,4.03,22.8,38.2
568,0,0,0,23.4,,,,,2.04,20.6,41.3
570,0,0,0,24.7,5.3,5.3,3.1666666666666665,0.0,4.28,20.0,26.6
571,0,0,0,31.4,14.0,10.4,12.433333333333332,0.0,1.22,19.7,70.9
575,0,0,0,22.8,,,,,6.11,21.1,27.1
576,0,0,0,21.7,4.9,4.9,4.9,0.0,,19.9,30.6
581,0,0,0,25.0,12.2,8.8,9.0,0.0,2.09,19.3,41.4
582,0,0,0,27.2,3.0,,3.0,0.0,2.05,20.5,26.8
590,0,0,0,22.6,,,,,3.02,20.8,34.0
591,0,0,0,27.2,,,,,,21.5,28.8
594,0,0,0,25.8,11.4,8.3,8.700000000000001,0.0,3.26,18.1,32.1
596,0,0,0,30.299999999999997,10.2,9.5,8.733333333333333,0.0,,21.6,21.2
599,0,0,0,27.1,,,,,,22.3,25.2
601,0,0,0,31.700000000000003,0.7,0.7,0.3666666666666667,0.0,6.11,22.0,32.9
607,0,0,0,32.2,16.5,16.5,13.4,0.3333333333333333,3.18,19.5,34.2
613,0,0,0,25.5,,,,,,,9.6
618,0,0,0,27.4,0.0,0.0,0.0,0.0,6.1,20.7,28.1
619,0,0,0,25.4,12.5,12.5,7.566666666666666,0.0,,20.6,24.5
620,0,0,0,30.799999999999997,13.9,12.1,13.266666666666667,0.0,2.28,20.1,44.3
621,0,0,0,21.0,,,,,,19.3,39.4
625,0,0,0,23.9,,,,,,20.2,
630,0,0,0,23.4,,,,,5.11,21.7,23.7
636,0,0,0,23.3,0.0,0.0,0.0,0.0,7.19,18.6,35.5
638,0,0,0,24.1,6.6,6.6,3.4499999999999997,0.0,5.29,21.4,34.5
641,0,0,0,23.8,,,,,,,14.5
644,0,0,0,27.1,9.5,1.5,5.6000000000000005,0.0,5.23,21.4,24.2
649,0,0,0,27.3,6.1,6.1,6.1,0.0,,21.6,40.7
650,0,0,0,26.6,6.0,6.0,3.0,0.0,6.11,22.9,25.4
651,0,0,0,22.6,,,,,,20.8,24.8
652,0,0,0,24.3,,,,,4.32,22.5,27.7
654,0,0,0,22.0,,,,,,20.2,22.2
661,0,0,0,23.2,3.6,3.6,3.6,0.0,2.28,18.4,33.3
663,0,0,0,26.0,12.0,9.2,10.6,0.0,4.06,19.2,33.3
666,0,0,0,29.5,6.0,6.0,5.333333333333333,0.0,4.23,21.8,40.2
667,0,0,0,29.4,7.3,5.5,6.266666666666667,0.0,,,11.2
669,0,0,0,26.5,16.2,13.4,14.633333333333333,0.3333333333333333,2.31,19.8,40.0
671,0,0,0,23.9,,,,,,20.2,47.9
673,0,0,0,24.7,3.6,3.6,3.6,0.0,7.06,23.0,28.2
676,0,0,0,25.1,2.6,0.0,1.3,0.0,,19.4,19.3
681,0,0,0,22.1,,,,,,19.4,20.4
692,0,0,0,25.3,0.8,-0.2,0.30000000000000004,0.0,,22.6,33.7
695,0,0,0,29.200000000000003,9.0,9.0,7.8,0.0,3.27,21.4,42.4
697,0,0,0,23.5,6.5,6.5,3.1,0.0,1.09,18.8,34.1
698,0,0,0,25.4,,,,,7.22,23.6,43.4
699,0,0,0,28.8,4.5,0.0,1.9333333333333333,0.0,,25.0,17.3
707,0,0,0,30.0,7.6,2.3,4.766666666666667,0.0,,21.3,16.9
709,0,0,0,28.1,11.6,11.6,11.55,0.0,2.5,19.4,25.0
714,0,0,0,24.3,8.3,8.3,5.8500000000000005,0.0,4.1,19.6,39.7
715,0,0,0,22.5,18.4,18.4,16.049999999999997,0.5,2.3,18.8,31.9
716,0,0,0,22.7,,,,,6.14,,14.5
717,1,0,0,30.299999999999997,20.4,20.4,18.23333333333333,1.0,1.06,19.6,34.4
720,0,0,0,27.5,6.0,2.5,4.5,0.0,4.08,19.7,31.6
723,0,0,0,23.2,0.5,0.5,0.5,0.0,5.07,19.4,60.3
730,0,0,0,24.8,0.0,,-0.25,0.0,,21.1,30.5
734,0,0,0,22.6,,,,,6.01,19.9,35.7
735,0,0,0,26.1,8.3,6.4,7.3500000000000005,0.0,,20.4,60.7
736,0,0,0,23.2,,,,,,20.5,35.9
737,1,0,0,27.1,17.8,17.2,15.766666666666666,0.6666666666666666,3.14,18.4,49.5
740,0,0,0,22.4,10.4,10.4,10.4,0.0,4.03,20.6,30.8
742,0,0,0,22.5,,,,,6.33,20.7,31.2
745,0,0,0,23.8,7.2,7.2,5.7,0.0,,20.1,20.6
747,1,0,0,25.6,13.8,13.8,11.2,0.0,3.32,19.8,41.8
748,0,0,0,27.1,10.9,9.2,10.2,0.0,5.11,19.4,29.3
756,0,0,0,24.4,1.2,1.2,1.2,0.0,,21.7,36.9
759,0,0,0,24.1,,,,,,19.3,44.8
763,0,0,0,24.0,4.7,4.7,2.866666666666667,0.0,1.23,19.2,29.0
764,0,0,0,35.8,16.2,11.5,14.299999999999999,0.6666666666666666,1.03,19.0,51.3
770,0,0,0,21.1,,,,,,20.4,32.3
774,0,0,0,25.7,4.1,,4.1,0.0,4.12,21.0,22.4
779,0,0,0,23.3,1.3,1.3,1.3,0.0,,20.6,26.5
780,0,0,0,24.7,5.2,5.2,5.2,0.0,7.1,23.0,22.2
782,0,0,0,24.8,5.5,5.5,3.55,0.0,,,12.6
788,0,0,0,27.5,11.2,,11.0,0.0,2.07,19.8,34.5
793,0,0,0,24.6,6.9,6.9,6.9,0.0,5.37,22.9,26.7
795,0,0,0,22.0,,,,,1.25,21.3,30.6
796,0,0,0,28.5,10.5,7.9,8.266666666666666,0.0,3.16,,13.6
798,0,0,0,26.1,2.3,2.2,2.25,0.0,,,6.3
799,0,0,0,29.200000000000003,14.1,12.9,12.833333333333334,0.0,5.31,19.5,26.3
803,0,0,0,21.2,,,,,2.24,,18.7
806,0,0,0,31.700000000000003,14.8,8.3,12.0,0.0,1.1,20.0,34.3
808,1,0,0,23.2,6.4,6.4,6.4,0.0,3.17,20.5,37.4
810,1,0,0,26.2,19.7,19.7,17.633333333333336,1.0,2.16,21.5,39.6
811,0,0,0,22.6,,,,,,19.9,14.9
814,1,0,0,25.8,18.8,18.1,16.76666666666667,0.6666666666666666,1.07,19.0,30.2
816,0,0,0,24.8,2.4,,1.5499999999999998,0.0,6.31,20.1,35.1
818,0,0,0,24.7,11.1,11.1,6.699999999999999,0.0,1.07,19.9,27.0
820,0,0,0,22.6,,,,,3.29,18.9,30.1
821,0,0,0,29.799999999999997,11.6,11.3,10.9,0.0,3.19,20.0,35.9
823,0,0,0,21.5,,,,,1.32,18.7,43.9
825,0,0,0,26.0,12.1,10.3,9.366666666666667,0.0,1.2,20.3,32.4
831,0,0,0,23.3,,,,,,22.6,31.4
832,0,0,0,26.6,19.2,19.2,18.733333333333334,1.0,1.12,19.8,34.5
833,0,0,0,22.2,,,,,7.33,21.5,20.3
834,0,0,0,21.9,,,,,,19.1,36.5
835,0,0,0,21.9,,,,,2.27,18.1,23.5
837,0,0,0,27.1,9.4,8.4,7.366666666666667,0.0,2.13,18.4,46.3
841,0,0,0,24.2,2.6,0.0,1.2333333333333334,0.0,4.19,19.5,43.1
842,0,0,0,26.4,7.4,7.4,5.733333333333334,0.0,1.29,19.7,32.6
845,0,0,0,22.2,,,,,,21.4,45.3
849,0,0,0,27.0,10.6,7.9,9.25,0.0,6.33,21.3,41.7
853,0,0,0,28.8,11.4,9.6,10.733333333333334,0.0,2.32,20.0,28.2
856,0,0,0,24.7,9.1,9.1,5.133333333333334,0.0,5.35,18.9,43.6
