,Full Name,0,1,fpts_2019
0,Davante Adams,0.062784314,0.9372157,211.20000000000002
1,Michael Thomas,0.07014787,0.9298521,374.4
2,Julio Jones,0.08906335,0.91093665,274.5
3,Melvin Gordon,0.118416905,0.8815831,181.2
4,Christian McCaffrey,0.14637041,0.8536296,468.8
5,Antonio Brown,0.14660215,0.85339785,16.1
6,Alvin Kamara,0.15905946,0.84094054,249.20000000000002
7,Tyreek Hill,0.15965617,0.84034383,188.39999999999998
8,Ezekiel Elliott,0.16112429,0.8388757,312.0
9,Saquon Barkley,0.16144353,0.83855647,244.4
10,Keenan Allen,0.20147449,0.7985255,260.8
11,DeAndre Hopkins,0.20220387,0.79779613,267.0
12,Dalvin Cook,0.2405957,0.7594043,292.59999999999997
13,George Kittle,0.27187413,0.7281259,222.6
14,Travis Kelce,0.28959942,0.7104006,254.4
15,Leonard Fournette,0.2938552,0.7061448,259.5
16,Tyler Boyd,0.29454023,0.7054598,222.4
17,Austin Ekeler,0.30715317,0.69284683,308.8
18,Odell Beckham,0.31319648,0.6868035,201.6
19,Mike Evans,0.32867616,0.67132384,230.1
20,Aaron Jones,0.33801603,0.66198397,315.2
21,Cooper Kupp,0.35948265,0.64051735,270.4
22,Derrick Henry,0.3802086,0.6197914,294.0
23,Chris Godwin,0.40642136,0.59357864,274.40000000000003
24,Todd Gurley,0.43619424,0.56380576,217.5
25,Chris Carson,0.44674087,0.55325913,232.5
26,Will Fuller,0.4613464,0.5386536,134.2
27,Allen Robinson,0.47241557,0.52758443,254.4
28,Kenyan Drake,0.4903456,0.5096544,212.79999999999998
29,Tyler Lockett,0.4926656,0.5073344,235.2
30,Robert Woods,0.50175345,0.49824652,232.5
31,Mark Ingram,0.5357146,0.46428537,238.5
32,Kerryon Johnson,0.5914955,0.4085045,84.8
33,Kareem Hunt,0.6076822,0.3923178,101.6
34,Brandin Cooks,0.61864865,0.38135138,117.60000000000001
35,Kenny Golladay,0.6285224,0.37147757,248.0
36,Amari Cooper,0.66398656,0.33601347,246.4
37,Joe Mixon,0.67779326,0.32220677,225.6
38,Jarvis Landry,0.6789043,0.3210957,236.8
39,David Johnson,0.6838126,0.3161874,141.60000000000002
40,JuJu Smith-Schuster,0.6852632,0.31473678,112.80000000000001
41,Nick Chubb,0.6897602,0.3102398,254.4
42,Adam Thielen,0.68997896,0.310021,114.0
43,Zach Ertz,0.75532746,0.24467255,213.0
44,James Conner,0.7558904,0.24410956,146.0
45,Tevin Coleman,0.7591272,0.24087282,135.79999999999998
46,Tarik Cohen,0.7851887,0.21481134,161.6
47,Stefon Diggs,0.7923849,0.20761506,214.5
48,Le'Veon Bell,0.7989577,0.2010423,213.0
49,T.J. Yeldon,0.8004267,0.19957326,29.6
50,DeSean Jackson,0.80218494,0.19781505,36.8
51,Sammy Watkins,0.81546366,0.18453632,136.5
52,Eric Ebron,0.8164138,0.18358618,86.9
53,DeVante Parker,0.8259207,0.17407928,246.4
54,Marshawn Lynch,0.8294029,0.1705971,9.4
55,Darrell Henderson,0.8315896,0.1684104,22.5
56,James White,0.84374535,0.15625463,192.0
57,N'Keal Harry,0.8481762,0.1518238,39.199999999999996
58,Calvin Ridley,0.8630051,0.13699488,195.0
59,Noah Fant,0.8645448,0.13545518,110.4
60,Christian Kirk,0.86701,0.13298999,166.4
61,Michael Gallup,0.86806,0.13194002,212.79999999999998
62,Emmanuel Sanders,0.8693425,0.13065751,188.7
63,Sterling Shepard,0.8720939,0.12790608,140.0
64,Marlon Mack,0.87668693,0.12331304,179.20000000000002
65,Larry Fitzgerald,0.879812,0.12018798,177.6
66,Chase Edmonds,0.8830607,0.11693933,83.0
67,Albert Wilson,0.8906675,0.109332494,89.7
68,Devin Singletary,0.8975884,0.10241161,147.60000000000002
69,Derrius Guice,0.8991748,0.100825176,57.5
70,Josh Gordon,0.8994196,0.10058037,74.8
71,Alshon Jeffery,0.9011816,0.0988184,122.39999999999999
72,T.J. Hockenson,0.9037698,0.096230194,80.4
73,Ronald Jones,0.9112295,0.08877052,166.4
74,Corey Davis,0.9118074,0.0881926,115.5
75,Jay Ajayi,0.91355145,0.08644852,3.0
76,Parris Campbell,0.9161086,0.083891414,37.800000000000004
77,Golden Tate,0.9222236,0.07777638,154.0
78,O.J. Howard,0.9249847,0.07501533,84.0
79,Benny Snell,0.92653346,0.07346656,58.3
80,Evan Engram,0.9269304,0.07306955,109.6
81,Jaylen Samuels,0.92907465,0.070925325,105.3
82,Mohamed Sanu,0.9292433,0.07075669,124.50000000000001
83,Michael Crabtree,0.93411887,0.06588114,6.2
84,Phillip Lindsay,0.9388699,0.061130103,198.4
85,Isaiah Ford,0.9411259,0.058874063,48.8
86,T.Y. Hilton,0.94282854,0.05717149,125.0
87,LeSean McCoy,0.9435063,0.056493722,118.3
88,Royce Freeman,0.94358796,0.05641205,142.4
89,Nelson Agholor,0.943919,0.05608102,92.4
90,Adrian Peterson,0.94441,0.05558998,147.0
91,Josh Jacobs,0.9448038,0.05519624,191.1
92,Jamison Crowder,0.9475697,0.052430242,198.4
93,Dede Westbrook,0.94998324,0.050016753,153.0
94,A.J. Brown,0.95081276,0.049187247,217.6
95,Marquise Brown,0.95318776,0.04681221,147.0
96,D.J. Moore,0.9534517,0.046548303,231.0
97,J.J. Arcega-Whiteside,0.9539206,0.046079427,33.300000000000004
98,Vernon Davis,0.9555061,0.044493943,28.4
99,Myles Gaskin,0.9560044,0.04399559,31.5
100,Matt Breida,0.95704037,0.04295961,103.19999999999999
101,David Montgomery,0.95884687,0.041153114,171.2
102,Devin Funchess,0.9591357,0.04086427,6.2
103,Trey Quinn,0.959313,0.040687025,49.199999999999996
104,Kenny Stills,0.96008795,0.039912064,119.6
105,John Ross,0.9605557,0.03944432,95.2
106,James Washington,0.96162426,0.038375754,133.5
107,Adam Humphries,0.9619071,0.03809292,86.4
108,Nyheim Hines,0.9624417,0.037558313,105.6
109,Deebo Samuel,0.9624817,0.037518322,187.5
110,D.K. Metcalf,0.962742,0.037258,185.6
111,Courtland Sutton,0.964742,0.03525802,222.4
112,Justin Jackson,0.9658397,0.034160297,31.5
113,Jason Moore,0.96715766,0.03284234,6.4
114,Keke Coutee,0.9673967,0.032603323,52.8
115,Randall Cobb,0.96849346,0.03150656,154.5
116,Marvin Jones,0.96874785,0.031252146,193.70000000000002
117,Donte Moncrief,0.96892333,0.031076645,6.0
118,Greg Dortch,0.96966785,0.030332169,-2.0
119,Sony Michel,0.9696718,0.03032824,153.6
120,Rashaad Penny,0.9701386,0.029861396,75.60000000000001
121,Marqise Lee,0.97015494,0.029845068,4.8
122,Jamaal Williams,0.97054243,0.02945759,147.0
123,Jordan Howard,0.9710507,0.028949315,111.60000000000001
124,Mark Walton,0.97118217,0.028817832,42.0
125,Curtis Samuel,0.97154707,0.028452907,171.2
126,Demaryius Thomas,0.97185826,0.02814171,85.8
127,Duke Johnson,0.9724917,0.027508317,153.6
128,Willie Snead,0.97262347,0.027376551,94.4
129,Ashton Dulin,0.9727139,0.027286137,3.6
130,Olamide Zaccheaus,0.97333574,0.026664248,20.4
131,Andy Isabella,0.9737519,0.026248073,35.2
132,Mike Williams,0.9745497,0.025450261,162.0
133,David Njoku,0.97500503,0.02499498,15.0
134,Brian Hill,0.9767996,0.023200393,67.0
135,Delanie Walker,0.9775403,0.02245968,54.599999999999994
136,Wes Hills,0.9777243,0.022275673,16.2
137,Jeff Wilson,0.9778537,0.022146262,47.2
138,Josh Oliver,0.97886306,0.021136925,4.5
139,Justin Watson,0.9790947,0.020905312,42.699999999999996
140,Hunter Henry,0.9791036,0.020896394,147.60000000000002
141,Ted Ginn,0.9793341,0.020665884,85.5
142,Jesper Horsted,0.9796455,0.02035451,20.5
143,Alexander Hollins,0.9796455,0.02035451,6.6
144,Darren Sproles,0.9797178,0.020282213,15.0
145,Auden Tate,0.97994465,0.020055339,102.0
146,Devonta Freeman,0.9800333,0.019966723,197.4
147,Jace Sternberger,0.9810545,0.018945519,0.0
148,Dion Lewis,0.98128664,0.018713346,66.0
149,Damion Willis,0.9816895,0.018310467,17.5
150,Scott Miller,0.9820107,0.017989263,40.5
151,Chris Thompson,0.9824211,0.017578926,93.5
152,John Kelly,0.9829736,0.017026441,0.9
153,Ty Montgomery,0.9841246,0.015875423,32.199999999999996
154,John Ursua,0.9843182,0.01568178,2.1
155,Giovani Bernard,0.9843391,0.015660891,68.8
156,Diontae Johnson,0.984861,0.0151389865,156.8
157,Ryan Nall,0.98503476,0.0149652595,0.8
158,Mike Davis,0.9853255,0.01467451,12.0
159,Mike Davis,0.9853255,0.01467451,12.0
160,Tyler Eifert,0.98573035,0.014269655,104.0
161,Krishawn Hogan,0.98602736,0.01397263,1.4
162,Paul Richardson,0.98624796,0.013752057,65.0
163,Quincy Enunwa,0.9862745,0.013725521,0.6
164,Jared Cook,0.9865365,0.013463499,168.0
165,Antonio Callaway,0.9867785,0.013221484,16.8
166,Miles Sanders,0.9868168,0.013183174,216.0
167,Geronimo Allison,0.98727745,0.012722553,73.5
168,Tre'Quan Smith,0.9873617,0.012638277,71.0
169,Justice Hill,0.98737144,0.012628576,49.6
170,Austin Hooper,0.9877506,0.012249424,189.79999999999998
171,Spencer Ware,0.9880025,0.011997495,12.299999999999999
172,Preston Williams,0.9880241,0.011975861,90.4
173,Ito Smith,0.9881319,0.011868137,36.4
174,Dante Pettis,0.9882236,0.011776367,34.199999999999996
175,Deontay Burnett,0.98829246,0.011707522,6.8
176,Irv Smith,0.9885983,0.011401708,78.39999999999999
177,Mecole Hardman,0.9885983,0.011401708,113.6
178,Jordan Matthews,0.9887049,0.011295101,7.4
179,Jason Witten,0.98877716,0.01122283,137.6
180,Kyle Rudolph,0.9887992,0.011200797,111.0
181,D.J. Chark,0.989088,0.0109120095,223.5
182,Derek Carrier,0.989102,0.010897984,32.4
183,Anthony Miller,0.9892135,0.010786465,128.0
184,Ty Johnson,0.9894153,0.010584742,60.0
185,Andre Roberts,0.98947453,0.01052544,5.2
186,Byron Pringle,0.9894877,0.010512274,35.1
187,Will Dissly,0.9895911,0.010408879,73.80000000000001
188,Ameer Abdullah,0.9897884,0.010211565,39.199999999999996
189,Robert Davis,0.98992616,0.010073849,3.5999999999999996
190,Ian Thomas,0.9899878,0.010012219,36.0
191,Chris Herndon,0.9899878,0.010012219,1.7
192,Robby Anderson,0.99007267,0.009927359,160.0
193,Travis Homer,0.99028605,0.00971397,28.0
194,Cameron Brate,0.9904765,0.009523493,91.0
195,Jimmy Graham,0.9904905,0.009509488,100.8
196,Keelan Cole,0.99073976,0.009260249,79.19999999999999
197,Jonnu Smith,0.9908602,0.009139765,105.0
198,Zay Jones,0.99113095,0.008869037,49.0
199,David Moore,0.99128324,0.008716764,59.8
200,Alexander Mattison,0.99148256,0.0085174255,68.89999999999999
201,Braxton Berrios,0.991561,0.0084390165,16.0
202,Marquise Goodwin,0.99163103,0.0083689615,38.4
203,Charles Clay,0.9916401,0.00835992,48.0
204,Dexter Williams,0.9917788,0.0082211895,1.2
205,Greg Olsen,0.9920667,0.007933317,123.20000000000002
206,Carlos Hyde,0.99228704,0.007712937,153.6
207,Stanley Morgan,0.99228984,0.0077101532,5.0
208,Devine Ozigbo,0.99231535,0.0076846615,8.0
209,Mike Gesicki,0.9924605,0.007539484,136.5
210,Jack Doyle,0.99253434,0.0074656764,112.0
211,Devontae Booker,0.9925605,0.0074394806,12.6
212,Josh Adams,0.9927226,0.0072774454,1.2
213,Olabisi Johnson,0.992732,0.0072680055,79.3
214,Dontrelle Inman,0.9928163,0.0071836836,30.099999999999998
215,Jalen Guyton,0.99286765,0.007132374,0.0
216,Steven Sims,0.9930041,0.0069959206,103.5
217,Jon Hilliman,0.99303377,0.006966216,8.100000000000001
218,Andre Patton,0.99308634,0.006913663,11.9
219,Latavius Murray,0.9931342,0.0068657966,156.8
220,Drew Sample,0.99316937,0.0068306155,8.0
221,Lil'Jordan Humphrey,0.99324846,0.0067515317,0.0
222,Patrick Laird,0.9932764,0.0067235655,66.4
223,Spencer Schnell,0.9932884,0.006711574,0.0
224,Dallas Goedert,0.99331367,0.006686311,144.0
225,Jalen Richard,0.9933241,0.006675903,83.2
226,Maxx Williams,0.9933495,0.0066505,41.6
227,Khari Blasingame,0.99336267,0.006637342,9.6
228,Robert Foster,0.99336654,0.006633467,12.0
229,Kerrith Whyte,0.99352413,0.006475854,14.399999999999999
230,Hunter Renfrow,0.9935763,0.006423731,133.9
231,Mark Andrews,0.99362665,0.0063733314,207.0
232,Tyrell Williams,0.99367017,0.0063298396,143.0
233,Jaleel Scott,0.9936702,0.0063298033,1.6
234,Jeff Smith,0.9937283,0.0062717446,2.2
235,Tavon Austin,0.9937373,0.006262744,47.6
236,KeeSean Johnson,0.9937387,0.006261305,44.0
237,Austin Carr,0.9938437,0.0061563053,2.0
238,Tajae Sharpe,0.99391663,0.006083381,81.89999999999999
239,Darwin Thompson,0.9939237,0.00607629,32.0
240,Riley Ridley,0.9940054,0.0059945933,12.899999999999999
241,Duke Williams,0.994022,0.0059779636,34.8
242,Marquez Valdes-Scantling,0.99429446,0.0057055177,84.0
243,Terry McLaurin,0.9943076,0.0056924024,191.79999999999998
244,Ventell Bryant,0.99438053,0.0056194398,8.4
245,Tra Carson,0.9945231,0.0054769055,10.6
246,Codey McElroy,0.9945231,0.0054769055,4.0
247,C.J. Board,0.9945599,0.005440129,5.0
248,Dalyn Dawkins,0.994616,0.0053840005,2.6
249,Vyncint Smith,0.9946412,0.005358821,48.1
250,Allen Lazard,0.9946412,0.005358821,102.30000000000001
251,Bilal Powell,0.99465376,0.005346255,33.599999999999994
252,Frank Gore,0.9946612,0.005338762,94.5
253,Pharaoh Brown,0.99467987,0.0053201225,4.800000000000001
254,Tony Brooks-James,0.9947111,0.005288872,0.6000000000000001
255,Ryquell Armstead,0.9947757,0.0052242726,51.800000000000004
256,Rex Burkhead,0.9947965,0.0052034627,101.39999999999999
257,Nsimba Webster,0.9948356,0.0051643713,0.0
258,Deon Yelder,0.9948356,0.0051643713,8.100000000000001
259,Breshad Perriman,0.9948384,0.005161559,138.6
260,Travis Fulgham,0.99492145,0.005078531,0.0
261,Kalen Ballage,0.9949227,0.005077295,51.599999999999994
262,Alfred Morris,0.9949237,0.0050762957,0.4
263,Michael Walker,0.994963,0.0050370265,-0.7000000000000001
264,Laquon Treadwell,0.99503374,0.0049662422,33.0
265,Vance McDonald,0.9950714,0.0049285707,84.0
266,Mike Davis,0.9951299,0.0048701274,12.0
267,Mike Davis,0.9951299,0.0048701274,12.0
268,Phillip Dorsett,0.995208,0.004791996,101.19999999999999
269,Bo Scarbrough,0.99524623,0.004753763,43.2
270,Taywan Taylor,0.99527466,0.0047253543,0.0
271,Taylor Gabriel,0.99536544,0.004634542,90.0
272,Cole Beasley,0.9954834,0.004516597,181.5
273,Dalton Schultz,0.9955737,0.004426318,1.5
274,Russell Gage,0.9955737,0.004426318,99.39999999999999
275,Ray-Ray McCloud,0.9955737,0.004426318,-1.7999999999999998
276,Jordan Thomas,0.9955737,0.004426318,1.8
277,Trey Edmunds,0.9956561,0.004343918,19.799999999999997
278,Malcolm Brown,0.9956561,0.004343918,58.5
279,Chris Hogan,0.9956945,0.0043054875,14.700000000000001
280,C.J. Anderson,0.9958277,0.0041723023,4.2
281,Trent Sherfield,0.9959191,0.0040809005,12.0
282,John Brown,0.99594164,0.0040583527,220.5
283,Richie James,0.9959828,0.004017165,28.8
284,Keelan Doss,0.9959904,0.0040095984,24.0
285,Darrius Shepherd,0.9959904,0.0040095984,-1.2000000000000002
286,Seth Roberts,0.99604225,0.0039577694,60.199999999999996
287,Trey Burton,0.99606055,0.0039394693,22.4
288,Darius Slayton,0.9960706,0.0039293724,169.4
289,Kelvin Harmon,0.9960706,0.0039293724,67.2
290,Corey Clement,0.9960818,0.0039181625,-4.0
291,Diontae Spencer,0.99609554,0.0039044619,8.0
292,Hayden Hurst,0.9961078,0.0038921635,76.8
293,Zach Pascal,0.9961888,0.0038112102,133.0
294,Miles Boykin,0.9961996,0.0038003833,50.400000000000006
295,Javorius Allen,0.996234,0.0037660166,11.399999999999999
296,Adam Shaheen,0.99628216,0.0037178458,16.099999999999998
297,Cody Latimer,0.99631196,0.0036880525,65.8
298,Alec Ingold,0.9963339,0.003666122,17.6
299,Reggie Bonnafon,0.9963339,0.003666122,29.7
300,Rashard Higgins,0.9963807,0.0036192997,15.400000000000002
301,Damien Harris,0.996382,0.003618031,1.2
302,MyCole Pruitt,0.99641323,0.003586771,21.0
303,Pharoh Cooper,0.99641323,0.003586771,55.199999999999996
304,Mike Thomas,0.99641323,0.003586771,3.5999999999999996
305,Jordan Scarlett,0.99649024,0.0035097303,0.9
306,Stephen Carlson,0.9965406,0.003459384,16.200000000000003
307,Isaac Nauta,0.99657494,0.0034250682,3.2
308,Kaden Smith,0.99657494,0.0034250682,75.60000000000001
309,Chris Lacy,0.9965886,0.0034114346,8.8
310,Malik Turner,0.9965886,0.0034114346,45.0
311,Josh Reynolds,0.996598,0.0034020143,61.49999999999999
312,Ben Watson,0.99662644,0.0033735535,34.199999999999996
313,Tyler Kroft,0.99666107,0.0033389311,18.900000000000002
314,Justin Hardy,0.9966704,0.0033295804,38.400000000000006
315,Cody Hollister,0.9966801,0.0033199321,3.3
316,Fred Brown,0.9966801,0.0033199321,4.0
317,J.P. Holtz,0.9966801,0.0033199321,16.200000000000003
318,Tevin Jones,0.9966801,0.0033199321,10.0
319,Gus Edwards,0.9966997,0.0033002885,92.8
320,Khadarel Hodge,0.99671495,0.0032850727,11.2
321,Chad Williams,0.9967168,0.0032832124,0.0
322,Jakob Johnson,0.9967365,0.0032634963,1.5
323,Ryan Izzo,0.99674785,0.00325217,23.4
324,Zach Zenner,0.9967583,0.0032417146,3.5999999999999996
325,Peyton Barber,0.9967734,0.0032265873,115.2
326,Steven Mitchell,0.9967753,0.0032246953,5.6
327,Devin Smith,0.9967763,0.0032236977,22.200000000000003
328,Clive Walford,0.9967763,0.0032236977,9.5
329,Greg Ward,0.99678016,0.0032198324,60.0
330,Buddy Howell,0.9967815,0.0032184538,0.8999999999999999
331,D'Ernest Johnson,0.9967815,0.0032184538,15.2
332,Qadree Ollison,0.9968021,0.0031979033,30.599999999999998
333,Cordarrelle Patterson,0.99681085,0.003189166,30.0
334,Damien Williams,0.9968253,0.0031747103,140.8
335,Jake Kumerow,0.99683225,0.0031677329,39.6
336,Scott Simonson,0.99684286,0.0031571218,3.0
337,Anthony Firkser,0.99684286,0.0031571218,40.0
338,Tony Pollard,0.99684644,0.0031535581,86.8
339,Troy Fumagalli,0.99690765,0.003092337,15.600000000000001
340,Tommy Sweeney,0.99690765,0.003092337,19.5
341,Deon Cain,0.99690765,0.003092337,20.9
342,Nick Bawden,0.9969409,0.003059118,6.0
343,Levine Toilolo,0.99697083,0.0030291912,3.0
344,Allen Hurns,0.9970336,0.0029664328,84.0
345,Ryan Griffin,0.9970444,0.0029556043,96.2
346,Taiwan Jones,0.9970444,0.0029556043,6.0
347,Jarius Wright,0.9970444,0.0029556043,57.6
348,Zach Line,0.9970444,0.0029556043,11.2
349,Ryan Grant,0.9970444,0.0029556043,5.4
350,DeAndre Carter,0.9970464,0.0029535987,25.6
351,Foster Moreau,0.9970657,0.0029343003,68.2
352,Tim Patrick,0.9971102,0.0028898201,37.800000000000004
353,Brandon Zylstra,0.9971102,0.0028898201,18.5
354,Dan Arnold,0.9971102,0.0028898201,32.5
355,Robert Tonyan,0.9971102,0.0028898201,26.099999999999998
356,JoJo Natson,0.99712735,0.0028726263,0.0
357,Ryan Switzer,0.9971303,0.0028697404,10.799999999999999
358,Chris Conley,0.9971412,0.002858795,155.2
359,Gerald Everett,0.9971412,0.002858795,90.0
360,Charles Jones,0.9972198,0.002780186,1.6
361,Andrew Beck,0.9972198,0.002780186,24.200000000000003
362,Jaeden Graham,0.9972198,0.002780186,30.0
363,Cam Sims,0.9972198,0.002780186,4.800000000000001
364,Hale Hentges,0.9972198,0.002780186,24.5
365,Christian Blake,0.9972198,0.002780186,20.3
366,Ishmael Hyman,0.9972198,0.002780186,5.4
367,Dawson Knox,0.9972216,0.0027784044,79.5
368,Travis Benjamin,0.9972388,0.002761164,9.0
369,Tyler Ervin,0.9972449,0.0027551227,4.2
370,Trenton Cannon,0.9972449,0.0027551227,0.0
371,Isaiah McKenzie,0.9972449,0.0027551227,63.599999999999994
372,Marcedes Lewis,0.9972777,0.002722312,37.2
373,JuWann Winfree,0.99730486,0.0026951686,0.0
374,Wendell Smallwood,0.997311,0.0026890044,23.1
375,Kendrick Bourne,0.9973338,0.0026661542,96.0
376,D.J. Foster,0.9973338,0.0026661542,0.0
377,Lance Kendricks,0.99742657,0.0025734273,8.0
378,Jonathan Williams,0.9974383,0.0025616698,40.5
379,Paul Perkins,0.9974383,0.0025616698,4.800000000000001
380,Demarcus Robinson,0.9974383,0.0025616698,100.5
381,Chris Moore,0.9974383,0.0025616698,5.0
382,DaeSean Hamilton,0.99746567,0.002534341,63.599999999999994
383,Troymaine Pope,0.99747425,0.0025257645,9.0
384,Alex Erickson,0.99747425,0.0025257645,96.0
385,James O'Shaughnessy,0.9974907,0.0025093083,41.5
386,Damion Ratley,0.9974907,0.0025093083,37.800000000000004
387,Blake Bell,0.9974907,0.0025093083,14.399999999999999
388,Boston Scott,0.9974907,0.0025093083,97.2
389,Darren Waller,0.9974907,0.0025093083,220.8
390,Jordan Akins,0.9974907,0.0025093083,89.6
391,Javon Wims,0.9974907,0.0025093083,42.9
392,Tyler Higbee,0.9974907,0.0025093083,161.0
393,T.J. Logan,0.9974907,0.0025093083,4.5
394,Marcell Ateman,0.9974907,0.0025093083,14.4
395,Jordan Wilkins,0.9974907,0.0025093083,54.6
396,Jakeem Grant,0.9974907,0.0025093083,39.6
397,Danny Amendola,0.9975212,0.0024787665,141.0
398,Jakobi Meyers,0.99755955,0.0024404342,61.599999999999994
399,Tanner Hudson,0.99755955,0.0024404342,4.4
400,Zach Gentry,0.9976913,0.0023087435,1.4
401,Johnny Holton,0.9977413,0.0022587476,6.3
402,Taysom Hill,0.9977413,0.0022587476,102.4
403,Dwayne Harris,0.9977413,0.0022587476,1.7999999999999998
404,Kenjon Barner,0.9977413,0.0022587476,9.799999999999999
405,C.J. Ham,0.99774545,0.0022545368,37.699999999999996
406,Chester Rogers,0.99774545,0.0022545368,46.0
407,Mike Boone,0.99776953,0.002230477,50.0
408,Jaydon Mickens,0.99776953,0.002230477,0.0
409,Dontrell Hilliard,0.99776953,0.002230477,37.699999999999996
410,Geoff Swaim,0.9977724,0.002227634,19.200000000000003
411,Samaje Perine,0.9977913,0.0022086808,1.6
412,Trevor Davis,0.9977913,0.0022086808,28.0
413,Jesse James,0.9977913,0.0022086808,29.9
414,Darrel Williams,0.9977916,0.0022084392,67.5
415,Jacob Hollister,0.9977916,0.0022084392,94.0
416,Trevon Wesco,0.997814,0.0021860101,6.8999999999999995
417,DeAndre Washington,0.99788195,0.0021180464,121.6
418,Nick O'Leary,0.99788195,0.0021180464,29.6
419,Nick Boyle,0.99788195,0.0021180464,75.0
420,Cody Core,0.99788195,0.0021180464,5.8
421,Dwayne Washington,0.99788195,0.0021180464,7.5
422,J.J. Nelson,0.99788195,0.0021180464,13.6
423,T.J. Jones,0.99788195,0.0021180464,12.899999999999999
424,C.J. Prosise,0.99788195,0.0021180464,28.8
425,Geremy Davis,0.99788195,0.0021180464,6.8999999999999995
426,Tyler Conklin,0.99788195,0.0021180464,14.0
427,Wayne Gallman,0.99788195,0.0021180464,48.6
428,Mack Hollins,0.99788195,0.0021180464,22.0
429,Eric Saubert,0.99788195,0.0021180464,4.0
430,Josh Bellamy,0.99809355,0.0019064794,4.0
431,Rhett Ellison,0.99809355,0.0019064794,41.0
432,Luke Stocker,0.99809355,0.0019064794,13.2
433,Lee Smith,0.99809355,0.0019064794,13.299999999999999
434,Garrett Celek,0.99809355,0.0019064794,0.0
435,Jaron Brown,0.99809355,0.0019064794,47.699999999999996
436,Patrick DiMarco,0.99809355,0.0019064794,9.799999999999999
437,Anthony Sherman,0.99809355,0.0019064794,5.2
438,Josh Hill,0.99809355,0.0019064794,65.8
439,Jamize Olawale,0.99809355,0.0019064794,0.0
440,Virgil Green,0.99809355,0.0019064794,22.799999999999997
441,Brandon Bolden,0.99809355,0.0019064794,51.0
442,Russell Shepard,0.99809355,0.0019064794,5.6
443,Luke Willson,0.99809355,0.0019064794,16.099999999999998
444,Ricky Seals-Jones,0.998136,0.0018640024,58.5
445,Xavier Grimble,0.998136,0.0018640024,1.2
446,Darius Jennings,0.998136,0.0018640024,3.5
447,Ross Dwelley,0.998136,0.0018640024,36.0
448,Da'Mari Scott,0.998136,0.0018640024,4.5
449,Damiere Byrd,0.998136,0.0018640024,71.5
450,Sean Culkin,0.998136,0.0018640024,2.2
451,DeAndrew White,0.998136,0.0018640024,9.1
452,Dare Ogunbowale,0.998136,0.0018640024,75.2
453,Kalif Raymond,0.998136,0.0018640024,29.6
454,Antony Auclair,0.998136,0.0018640024,2.0999999999999996
455,Marcus Johnson,0.998136,0.0018640024,56.8
456,Bobo Wilson,0.998136,0.0018640024,4.800000000000001
457,Chad Beebe,0.998136,0.0018640024,9.0
458,Senorise Perry,0.998136,0.0018640024,1.4
459,Raheem Mostert,0.998136,0.0018640024,166.5
460,Eric Tomlinson,0.998136,0.0018640024,1.1
461,Darrell Daniels,0.998136,0.0018640024,1.5
462,Daniel Brown,0.998136,0.0018640024,20.3
463,Bennie Fowler,0.998136,0.0018640024,44.0
464,Josh Ferguson,0.998136,0.0018640024,0.9
465,Johnny Mundt,0.998136,0.0018640024,6.5
466,Cethan Carter,0.998136,0.0018640024,9.3
467,Marvin Hall,0.998136,0.0018640024,39.9
468,J.D. McKissic,0.998136,0.0018640024,84.0
469,Elijhaa Penny,0.998136,0.0018640024,7.2
470,De'Lance Turner,0.998136,0.0018640024,0.6
471,Matt LaCosse,0.998136,0.0018640024,32.0
472,Blake Jarwin,0.998136,0.0018640024,85.5
473,Ben Braunecker,0.998136,0.0018640024,18.0
474,Mike Burton,0.9981542,0.0018457806,0.0
475,Alex Armah,0.9981542,0.0018457806,9.6
476,Andy Janovich,0.9981542,0.0018457806,15.2
477,Derek Watt,0.9981542,0.0018457806,13.6
478,Durham Smythe,0.9981542,0.0018457806,14.0
479,Ben Koyack,0.9981542,0.0018457806,1.7999999999999998
480,Seth Devalve,0.9981542,0.0018457806,25.900000000000002
481,Kyle Juszczyk,0.9981542,0.0018457806,50.400000000000006
482,Jeff Heuerman,0.9981542,0.0018457806,31.2
483,Jeremy Sprinkle,0.9981542,0.0018457806,56.0
484,C.J. Uzomah,0.9981542,0.0018457806,63.7
485,Nick Vannett,0.9981542,0.0018457806,33.6
486,Dan Vitale,0.9981542,0.0018457806,17.099999999999998
